# Linux: 5.15.0
# OpenWrt: 23.05
# Generated: 2026-04-25T18:44:49Z

driver,get_tag_protocol,change_tag_protocol,setup,teardown,port_setup,port_teardown,get_phy_flags,phy_read,phy_write,adjust_link,fixed_link_update,phylink_validate,phylink_mac_link_state,phylink_mac_config,phylink_mac_an_restart,phylink_mac_link_down,phylink_mac_link_up,phylink_fixed_state,get_strings,get_ethtool_stats,get_sset_count,get_ethtool_phy_stats,get_stats64,self_test,get_wol,set_wol,get_ts_info,suspend,resume,port_enable,port_disable,set_mac_eee,get_mac_eee,get_eeprom_len,get_eeprom,set_eeprom,get_regs_len,get_regs,port_prechangeupper,set_ageing_time,port_bridge_join,port_bridge_leave,port_bridge_tx_fwd_offload,port_bridge_tx_fwd_unoffload,port_stp_state_set,port_fast_age,port_pre_bridge_flags,port_bridge_flags,port_vlan_filtering,port_vlan_add,port_vlan_del,port_fdb_add,port_fdb_del,port_fdb_dump,port_mdb_add,port_mdb_del,get_rxnfc,set_rxnfc,cls_flower_add,cls_flower_del,cls_flower_stats,port_mirror_add,port_mirror_del,port_policer_add,port_policer_del,port_setup_tc,crosschip_bridge_join,crosschip_bridge_leave,crosschip_lag_change,crosschip_lag_join,crosschip_lag_leave,port_hwtstamp_get,port_hwtstamp_set,port_txtstamp,port_rxtstamp,devlink_param_get,devlink_param_set,devlink_info_get,devlink_sb_pool_get,devlink_sb_pool_set,devlink_sb_port_pool_get,devlink_sb_port_pool_set,devlink_sb_tc_pool_bind_get,devlink_sb_tc_pool_bind_set,devlink_sb_occ_snapshot,devlink_sb_occ_max_clear,devlink_sb_occ_port_pool_get,devlink_sb_occ_tc_port_bind_get,port_change_mtu,port_max_mtu,port_lag_change,port_lag_join,port_lag_leave,port_hsr_join,port_hsr_leave,port_mrp_add,port_mrp_del,port_mrp_add_ring_role,port_mrp_del_ring_role,tag_8021q_vlan_add,tag_8021q_vlan_del
drivers/net/dsa/sja1105/sja1105_main.c,x,,x,x,,,,,,,,x,,x,,x,x,,x,x,x,,,,,,x,,,,x,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,,,,,,x,x,x,x,,,x,,,,,,,,,,,x,x,,,,,,,,,,x,x
drivers/net/dsa/vitesse-vsc73xx-core.c,x,,x,,,,,x,x,x,,,,,,,,,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,
drivers/net/dsa/xrs700x/xrs700x.c,x,,x,x,,,,,,,,x,,,,,x,,x,x,x,,x,,,,,,,,,,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,
openwrt:drivers/net/dsa/lantiq_gswip.c,x,,x,,,,,,,,,x,,x,,x,x,,x,x,x,,,,,,,,,x,x,,,,,,,,,,x,x,,,x,x,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,
openwrt:drivers/net/dsa/mt7530.c,x,,x,,,,,,,,,,,x,,x,x,,x,x,x,,,,,,,,,x,x,x,x,,,,,,,x,x,x,,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,
openwrt:drivers/net/dsa/qca/qca8k-8xxx.c,x,,x,,,,x,,,,,x,x,x,,x,x,,x,x,x,,,,,,,,,x,x,x,x,,,,,,,x,x,x,,,x,x,,,x,x,x,x,x,x,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,x,,,,,,,,
openwrt:drivers/net/dsa/qca/qca8k.c,x,,x,,,,x,,,,,x,x,x,,x,x,,x,x,x,,,,,,,,,x,x,x,x,,,,,,,x,x,x,,,x,x,,,x,x,x,x,x,x,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,x,,,,,,,,
openwrt:drivers/net/dsa/qca8k.c,x,,x,,,,x,,,,,x,x,x,,x,x,,x,x,x,,,,,,,,,x,x,x,x,,,,,,,x,x,x,,,x,x,,,x,x,x,x,x,x,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,x,,,,,,,,
openwrt:drivers/net/dsa/rtl8366rb.c,x,,x,,,,,,,,,,,,,x,x,,x,x,x,,,,,,,,,x,x,,,,,,,,,,x,x,,,x,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,
openwrt:drivers/net/dsa/rtl83xx/dsa.c,x,,x,,,,,x,x,,,x,x,x,,x,x,,x,x,x,,,,,,,,,x,x,x,x,,,,,,,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,
